cnpj,uf,produto,fonte_de_recurso_desembolsos,setor_bndes,natureza_do_cliente,tipo_de_garantia,valor_desembolsado_ajustado,processos,prazo_amortizacao_meses,cluster
00.001.180/0001-26,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,PESSOAL,1414420135.0,6001.0,8.0,0
00.003.516/0001-90,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,18902339.0,198.0,58.5,2
00.058.722/0001-05,SC,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,42528663.0,1.0,72.0,1
00.073.957/0001-68,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,DEFINIDA PELO AGENTE FINANCEIRO,1414420135.0,3379.0,149.12121212121212,0
00.074.569/0001-00,RJ,BNDES FINEM,RECURSOS VINCULADOS,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,11596383.0,8045.0,48.0,2
00.080.671/0001-00,GO,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,287288388.0,1030.0,69.42105263157895,0
00.082.024/0001-37,DF,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,"OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",91495728.0,4731.0,90.0,0
00.102.912/0001-74,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,1.0,12.0,2
00.103.582/0001-31,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,111323143.0,58.0,24.0,2
00.145.602/0001-37,SC,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,18926917.0,51.0,36.0,2
00.185.041/0001-08,MT,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,81187623.0,68.0,89.0,0
00.190.373/0001-72,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL,185710214.0,1607.0,68.58333333333333,0
00.198.057/0001-47,PR,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,53026029.0,201.0,24.0,2
00.233.695/0001-51,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,296.0,54.0,2
00.280.273/0001-37,AM,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,100935641.0,10624.0,12.0,0
00.286.550/0001-19,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,30569722.0,12.0,48.0,2
00.331.788/0001-19,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,107324791.0,8.0,55.2,2
00.350.763/0001-62,GO,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,7856220.0,390.0,60.0,2
00.355.092/0001-22,SC,BNDES FINEM,RECURSOS VINCULADOS,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,15233678.0,128.0,47.0,2
00.357.038/0001-16,RO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,ADMINISTRAÇÃO PÚBLICA DIRETA - GOVERNO FEDERAL,REAL,1414420135.0,147.0,144.04166666666666,0
00.372.496/0001-24,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,125143316.0,1.0,75.0,1
