uf,ano,valor_contratado_reais,valor_desembolsado_reais,media_juros,media_prazo_carencia_meses,media_prazo_amortizacao_meses,valor_contratado_ajustado,valor_desembolsado_ajustado,pib,emissao_co2,num_empregados,idhm
AC,2002,605515.2,612000.0,4.0,18.0,66.0,1195596.0,1208401.0,674487984.0,0.0,4177.0,
AC,2004,11000000.0,0.0,4.0,18.0,96.0,15970592.0,0.0,0.0,0.0,0.0,
AC,2005,25059451.9,25712810.3,3.5,18.0,102.0,33504343.0,34377879.0,598244130.0,0.0,5122.0,
AC,2007,32048964.0,32110602.6,2.0,24.0,96.0,40890361.0,40969004.0,0.0,0.0,0.0,
AC,2008,115832532.0,112744065.4,2.0,30.0,126.0,134995354.0,131395945.0,681922808.0,0.0,6731.0,
AC,2020,99146000.0,0.0,3.22,12.0,153.0,47761606.0,0.0,0.0,0.0,0.0,
AL,2002,51475000.0,52744954.6,2.9,30.0,120.0,106844365.0,109480353.0,0.0,0.0,0.0,
AL,2003,91383653.3,98025890.9,1.0,10.0,24.0,141298258.0,151568548.0,0.0,0.0,0.0,
AL,2005,12216000.0,11922045.2,2.75,9.0,72.0,16484794.0,16088120.0,0.0,0.0,0.0,
AL,2010,527074755.5,518202362.0,2.76,15.6,68.2,527149922.0,518274785.0,4708284786.0,242707.0,110487.0,0.631
AL,2011,85272847.0,85609704.5,2.43,21.0,78.0,82618512.0,82942843.0,6010281704.0,254230.2,112755.0,
AL,2013,310544000.0,310503000.0,2.58,16.5,78.5,271373073.0,271337245.0,4713670123.0,294581.9,98978.0,
AL,2014,45582000.0,40354096.8,2.96,26.2,87.8,36770231.0,32552969.0,7430470845.0,4396421.2,100107.0,
AL,2015,25678000.0,24444242.6,4.44,12.0,72.0,18739068.0,17838707.0,4409744082.0,210353.4,86048.0,
AL,2019,284845600.0,200000000.0,2.21,18.0,220.0,168968820.0,118638883.0,0.0,0.0,0.0,
AL,2020,491429000.0,0.0,2.26,42.0,197.0,283604565.0,0.0,0.0,0.0,0.0,
AM,2002,88776309.7,91815716.0,4.27,17.3,117.4,174992864.0,180897300.0,14761990752.0,233222.7,66444.0,
AM,2004,65983096.6,46888826.9,5.08,22.5,180.0,92156161.0,65487904.0,0.0,0.0,0.0,
AM,2005,888960326.4,889067066.1,4.77,14.2,73.6,1194677638.0,1194821855.0,17595737515.0,232446.0,105069.0,
AM,2006,78312440.7,78337453.3,3.85,12.0,102.0,104637864.0,104672782.0,19981697365.0,233654.6,108473.0,
AM,2007,2489500000.0,2491252385.3,1.96,38.0,46.0,2990873736.0,2992979044.0,0.0,0.0,0.0,
AM,2008,418368000.0,419288733.6,3.4,27.0,51.0,480204659.0,481260894.0,18769937258.0,281970.1,119739.0,
AM,2009,80000000.0,80070152.3,3.41,18.0,126.0,87853275.0,87930321.0,0.0,0.0,0.0,
AM,2010,963528000.0,963528000.0,2.28,17.5,65.5,1044437401.0,1044437401.0,21495795175.0,261072.1,125994.0,0.674
AM,2012,267691794.0,244179235.1,2.46,23.0,78.4,242079169.0,221199471.0,19592774500.0,282678.1,139305.0,
AM,2013,263277810.0,253544877.6,2.7,10.7,95.4,225792702.0,217595442.0,20222782091.0,277978.1,148817.0,
AM,2014,249464100.0,250539545.9,1.91,24.0,92.4,203328774.0,204201708.0,18283808665.0,229952.7,140466.0,
AM,2018,30000000.0,30000000.0,2.25,24.0,36.0,19387242.0,19387242.0,0.0,0.0,0.0,
AM,2019,51337615.8,21243347.5,3.38,36.0,180.0,31392337.0,12990052.0,0.0,0.0,0.0,
AM,2020,77059656.9,0.0,2.97,24.0,216.0,43789463.0,0.0,0.0,0.0,0.0,
AP,2007,521907883.3,498871045.2,4.07,30.0,66.0,649219860.0,620563514.0,624305588.0,0.0,5651.0,
AP,2012,653221104.8,630208798.4,2.93,12.1,187.8,577569615.0,557122726.0,0.0,0.0,0.0,
AP,2014,504100000.0,491547589.7,1.41,34.0,184.0,409173429.0,398984751.0,0.0,0.0,0.0,
AP,2018,242185.4,0.0,8.5,3.0,54.0,164412.0,0.0,0.0,0.0,0.0,
BA,2002,1101015968.4,1132706676.5,4.48,26.7,75.3,2100613173.0,2164485711.0,35069407703.0,57731416.4,209672.0,
BA,2003,370606276.9,371078190.0,3.59,23.3,85.2,582410139.0,583123368.0,36015520416.0,60391515.8,223760.0,
BA,2004,1607872876.2,1583892605.5,2.66,38.4,60.6,2424435480.0,2388232003.0,26528210116.0,1330852.1,166463.0,
BA,2005,989858494.1,942761507.1,3.88,15.8,64.7,1325365638.0,1261885891.0,39911513194.0,56331219.6,262642.0,
