uf,setor_bndes,ano,valor_contratado_reais,valor_desembolsado_reais,media_juros,media_prazo_carencia_meses,media_prazo_amortizacao_meses,valor_contratado_ajustado,valor_desembolsado_ajustado,pib,emissao_co2,num_empregados
AC,INDUSTRIA,2002,605515.2,612000.0,4.0,18.0,66.0,1195596.0,1208401.0,674487984.0,0.0,4177.0
AC,INDUSTRIA,2005,25059451.9,25712810.3,3.5,18.0,102.0,33504343.0,34377879.0,598244130.0,0.0,5122.0
AC,INDUSTRIA,2008,55073532.0,51807339.7,2.0,30.0,90.0,64184654.0,60378117.0,681922808.0,0.0,6731.0
AC,INFRAESTRUTURA,2004,11000000.0,0.0,4.0,18.0,96.0,15970592.0,0.0,,,
AC,INFRAESTRUTURA,2007,32048964.0,32110602.6,2.0,24.0,96.0,40890361.0,40969004.0,,,
AC,INFRAESTRUTURA,2008,60759000.0,60936725.7,2.0,30.0,162.0,70810700.0,71017828.0,,,
AC,INFRAESTRUTURA,2020,99146000.0,0.0,3.22,12.0,153.0,47761606.0,0.0,,,
AL,AGROPECUARIA,2014,12350000.0,12350000.0,2.0,36.0,84.0,9962536.0,9962536.0,3044846175.0,4096884.3,8886.0
AL,INDUSTRIA,2010,524711000.0,515924907.5,2.33,28.3,76.3,524711000.0,515924908.0,4708284786.0,242707.0,110487.0
AL,INDUSTRIA,2011,85272847.0,85609704.5,2.43,21.0,78.0,82618512.0,82942843.0,6010281704.0,254230.2,112755.0
AL,INDUSTRIA,2013,310544000.0,310503000.0,2.58,16.5,78.5,271373073.0,271337245.0,4713670123.0,294581.9,98978.0
AL,INDUSTRIA,2014,33232000.0,28004096.8,3.91,16.3,91.7,26807695.0,22590433.0,4385624670.0,299536.9,91221.0
AL,INDUSTRIA,2015,25678000.0,24444242.6,4.44,12.0,72.0,18739068.0,17838707.0,4409744082.0,210353.4,86048.0
AL,INFRAESTRUTURA,2002,51475000.0,52744954.6,2.9,30.0,120.0,106844365.0,109480353.0,,,
AL,INFRAESTRUTURA,2003,91383653.3,98025890.9,1.0,10.0,24.0,141298258.0,151568548.0,,,
AL,INFRAESTRUTURA,2005,12216000.0,11922045.2,2.75,9.0,72.0,16484794.0,16088120.0,,,
AL,INFRAESTRUTURA,2010,2363755.5,2277454.5,3.2,3.0,60.0,2438922.0,2349877.0,,,
AL,INFRAESTRUTURA,2019,284845600.0,200000000.0,2.21,18.0,220.0,168968820.0,118638883.0,,,
AL,INFRAESTRUTURA,2020,491429000.0,0.0,2.26,42.0,197.0,283604565.0,0.0,,,
AM,INDUSTRIA,2002,35894000.8,35868918.2,3.33,16.0,56.0,74503579.0,74451516.0,14761990752.0,233222.7,66444.0
AM,INDUSTRIA,2005,85044899.0,85349534.2,5.33,12.0,12.0,114116322.0,114525124.0,17595737515.0,232446.0,105069.0
AM,INDUSTRIA,2006,63000000.0,63087644.8,4.0,12.0,24.0,84451294.0,84568781.0,19981697365.0,233654.6,108473.0
AM,INDUSTRIA,2008,18368000.0,18376613.3,3.8,18.0,18.0,21406721.0,21416759.0,18769937258.0,281970.1,119739.0
AM,INDUSTRIA,2010,84100000.0,84100000.0,2.18,24.0,66.0,90400518.0,90400518.0,21495795175.0,261072.1,125994.0
AM,INDUSTRIA,2012,30313000.0,29200000.0,2.42,16.0,64.0,26751436.0,25769206.0,19592774500.0,282678.1,139305.0
AM,INDUSTRIA,2013,228266810.0,224418713.1,2.13,15.4,54.9,196508960.0,193233868.0,20222782091.0,277978.1,148817.0
AM,INDUSTRIA,2014,70600000.0,70600388.3,1.07,24.0,60.0,58146395.0,58146715.0,18283808665.0,229952.7,140466.0
AM,INFRAESTRUTURA,2002,52882308.9,55946797.8,5.21,18.6,178.8,100489285.0,106445784.0,,,
AM,INFRAESTRUTURA,2004,65983096.6,46888826.9,5.08,22.5,180.0,92156161.0,65487904.0,,,
AM,INFRAESTRUTURA,2005,803915427.4,803717531.9,4.2,16.5,135.2,1080561316.0,1080296731.0,,,
AM,INFRAESTRUTURA,2006,15312440.7,15249808.5,3.7,12.0,180.0,20186570.0,20104001.0,,,
AM,INFRAESTRUTURA,2007,2489500000.0,2491252385.3,1.96,38.0,46.0,2990873736.0,2992979044.0,,,
AM,INFRAESTRUTURA,2008,400000000.0,400912120.3,3.0,36.0,84.0,458797938.0,459844135.0,,,
AM,INFRAESTRUTURA,2009,80000000.0,80070152.3,3.41,18.0,126.0,87853275.0,87930321.0,,,
AM,INFRAESTRUTURA,2010,879428000.0,879428000.0,2.38,11.0,65.0,954036883.0,954036883.0,,,
AM,INFRAESTRUTURA,2012,237378794.0,214979235.1,2.5,30.0,92.8,215327733.0,195430265.0,,,
AM,INFRAESTRUTURA,2013,35011000.0,29126164.5,3.28,6.0,136.0,29283742.0,24361574.0,,,
AM,INFRAESTRUTURA,2014,178864100.0,179939157.6,2.75,24.0,124.8,145182379.0,146054993.0,,,
AM,INFRAESTRUTURA,2018,30000000.0,30000000.0,2.25,24.0,36.0,19387242.0,19387242.0,,,
AM,INFRAESTRUTURA,2019,51337615.8,21243347.5,3.38,36.0,180.0,31392337.0,12990052.0,,,
AM,INFRAESTRUTURA,2020,77059656.9,0.0,2.97,24.0,216.0,43789463.0,0.0,,,
AP,INDUSTRIA,2007,431535057.7,425270038.7,4.23,30.0,66.0,536801874.0,529008593.0,624305588.0,0.0,5651.0
AP,INFRAESTRUTURA,2007,90372825.6,73601006.5,3.9,30.0,66.0,112417986.0,91554921.0,,,
AP,INFRAESTRUTURA,2012,653221104.8,630208798.4,2.93,12.1,187.8,577569615.0,557122726.0,,,
AP,INFRAESTRUTURA,2014,504100000.0,491547589.7,1.41,34.0,184.0,409173429.0,398984751.0,,,
AP,INFRAESTRUTURA,2018,242185.4,0.0,8.5,3.0,54.0,164412.0,0.0,,,
BA,AGROPECUARIA,2002,51260301.9,48498157.7,8.44,38.2,79.5,104510453.0,99305043.0,12561355724.0,56655808.5,67210.0
BA,AGROPECUARIA,2003,2380024.0,2418273.4,4.0,36.0,72.0,3751902.0,3812199.0,12674225723.0,59066829.1,72086.0
BA,AGROPECUARIA,2005,6187444.3,6200000.0,3.5,24.0,60.0,8289264.0,8306085.0,11122590340.0,54872313.5,84369.0
BA,AGROPECUARIA,2012,400684000.0,301499822.4,2.26,84.0,24.0,362101088.0,271736967.0,10929642743.0,56516396.1,89652.0
BA,INDUSTRIA,2002,312996029.0,338064879.9,2.62,19.7,63.7,617292046.0,667158111.0,22508051979.0,1075607.9,142462.0
BA,INDUSTRIA,2003,16478038.5,16633246.6,4.07,18.0,69.4,25706758.0,25942694.0,23341294693.0,1324686.7,151674.0
BA,INDUSTRIA,2004,1607872876.2,1583892605.5,2.66,38.4,60.6,2424435480.0,2388232003.0,26528210116.0,1330852.1,166463.0
BA,INDUSTRIA,2005,781357926.8,765298594.0,3.73,18.5,54.0,1044206394.0,1022742176.0,28788922854.0,1458906.1,178273.0
BA,INDUSTRIA,2006,1825014037.1,1795863038.8,2.09,54.9,54.5,2427703460.0,2389279595.0,27863970820.0,1343634.7,197037.0
BA,INDUSTRIA,2007,487276772.0,470070526.5,1.59,17.1,58.3,606737886.0,585639312.0,28374185035.0,1474039.3,215882.0
BA,INDUSTRIA,2008,722790855.8,779664874.7,3.8,13.8,43.2,823934201.0,886515363.0,30071695855.0,1555923.4,224140.0
BA,INDUSTRIA,2009,226265637.0,180875855.8,2.62,15.0,73.5,250631276.0,200363929.0,32827594700.0,1235557.8,238084.0
BA,INDUSTRIA,2010,176457301.7,161663313.9,2.73,16.0,61.2,190124810.0,174036215.0,36739895073.0,1438893.5,255774.0
BA,INDUSTRIA,2012,2448873779.5,2594976516.2,2.38,20.2,63.9,2191952906.0,2322113254.0,30055663851.0,1347484.7,265741.0
BA,INDUSTRIA,2013,979994000.2,843391154.2,2.48,18.5,56.4,837372482.0,720942390.0,29015289594.0,1432394.4,267665.0
BA,INDUSTRIA,2014,356432485.0,320593139.2,3.21,27.5,47.2,289232833.0,260085685.0,30350637698.0,1540158.1,267516.0
BA,INDUSTRIA,2015,219847724.2,155189042.5,3.18,26.0,55.0,174756210.0,123248251.0,32759140355.0,1533505.4,257770.0
BA,INDUSTRIA,2016,19340000.0,9329957.4,2.26,84.0,24.0,13303202.0,6417699.0,34325906693.0,1384213.0,247766.0
BA,INDUSTRIA,2017,251292000.0,183010619.8,2.1,48.0,42.0,174208319.0,126652201.0,32432703576.0,1392331.4,248991.0
