ano,uf,setor,porte_do_cliente,num_empregados
2019,RO,INDUSTRIA,MICRO,9493
2019,AC,INDUSTRIA,MICRO,2372
2019,AM,INDUSTRIA,MICRO,8308
2019,RR,INDUSTRIA,MICRO,1415
2019,PA,INDUSTRIA,MICRO,16603
2019,AP,INDUSTRIA,MICRO,1466
2019,TO,INDUSTRIA,MICRO,6134
2019,MA,INDUSTRIA,MICRO,10179
2019,PI,INDUSTRIA,MICRO,11030
2019,CE,INDUSTRIA,MICRO,41709
2019,RN,INDUSTRIA,MICRO,15195
2019,PB,INDUSTRIA,MICRO,14999
2019,PE,INDUSTRIA,MICRO,40053
2019,AL,INDUSTRIA,MICRO,8160
2019,SE,INDUSTRIA,MICRO,8634
2019,BA,INDUSTRIA,MICRO,48469
2019,MG,INDUSTRIA,MICRO,177194
2019,ES,INDUSTRIA,MICRO,34121
2019,RJ,INDUSTRIA,MICRO,71160
2019,SP,INDUSTRIA,MICRO,417174
2019,PR,INDUSTRIA,MICRO,133295
2019,SC,INDUSTRIA,MICRO,151799
2019,RS,INDUSTRIA,MICRO,146038
2019,MS,INDUSTRIA,MICRO,15276
2019,MT,INDUSTRIA,MICRO,28813
2019,GO,INDUSTRIA,MICRO,53671
2019,DF,INDUSTRIA,MICRO,12022
2018,RO,INDUSTRIA,MICRO,9890
2018,AC,INDUSTRIA,MICRO,2351
2018,AM,INDUSTRIA,MICRO,8087
2018,RR,INDUSTRIA,MICRO,1521
2018,PA,INDUSTRIA,MICRO,16867
2018,AP,INDUSTRIA,MICRO,1773
2018,TO,INDUSTRIA,MICRO,6040
2018,MA,INDUSTRIA,MICRO,10449
2018,PI,INDUSTRIA,MICRO,11112
2018,CE,INDUSTRIA,MICRO,42789
2018,RN,INDUSTRIA,MICRO,15055
2018,PB,INDUSTRIA,MICRO,14735
2018,PE,INDUSTRIA,MICRO,40589
2018,AL,INDUSTRIA,MICRO,8017
2018,SE,INDUSTRIA,MICRO,8460
2018,BA,INDUSTRIA,MICRO,47640
2018,MG,INDUSTRIA,MICRO,173959
2018,ES,INDUSTRIA,MICRO,33040
2018,RJ,INDUSTRIA,MICRO,72438
2018,SP,INDUSTRIA,MICRO,410132
2018,PR,INDUSTRIA,MICRO,130334
2018,SC,INDUSTRIA,MICRO,145946
2018,RS,INDUSTRIA,MICRO,140490
2018,MS,INDUSTRIA,MICRO,14789
2018,MT,INDUSTRIA,MICRO,27451
2018,GO,INDUSTRIA,MICRO,53233
2018,DF,INDUSTRIA,MICRO,11731
2017,RO,INDUSTRIA,MICRO,10077
2017,AC,INDUSTRIA,MICRO,2455
2017,AM,INDUSTRIA,MICRO,8401
2017,RR,INDUSTRIA,MICRO,1355
2017,PA,INDUSTRIA,MICRO,17686
2017,AP,INDUSTRIA,MICRO,1685
2017,TO,INDUSTRIA,MICRO,6055
2017,MA,INDUSTRIA,MICRO,10411
2017,PI,INDUSTRIA,MICRO,11095
2017,CE,INDUSTRIA,MICRO,42821
2017,RN,INDUSTRIA,MICRO,15092
2017,PB,INDUSTRIA,MICRO,15056
2017,PE,INDUSTRIA,MICRO,42155
2017,AL,INDUSTRIA,MICRO,7981
2017,SE,INDUSTRIA,MICRO,8808
2017,BA,INDUSTRIA,MICRO,47547
2017,MG,INDUSTRIA,MICRO,176285
2017,ES,INDUSTRIA,MICRO,33143
2017,RJ,INDUSTRIA,MICRO,75516
2017,SP,INDUSTRIA,MICRO,415149
2017,PR,INDUSTRIA,MICRO,131354
2017,SC,INDUSTRIA,MICRO,145498
2017,RS,INDUSTRIA,MICRO,143969
2017,MS,INDUSTRIA,MICRO,14887
2017,MT,INDUSTRIA,MICRO,26790
2017,GO,INDUSTRIA,MICRO,53702
2017,DF,INDUSTRIA,MICRO,11465
2016,RO,INDUSTRIA,MICRO,10547
2016,AC,INDUSTRIA,MICRO,2527
2016,AM,INDUSTRIA,MICRO,8218
2016,RR,INDUSTRIA,MICRO,1403
2016,PA,INDUSTRIA,MICRO,18540
2016,AP,INDUSTRIA,MICRO,1724
2016,TO,INDUSTRIA,MICRO,5906
2016,MA,INDUSTRIA,MICRO,10505
2016,PI,INDUSTRIA,MICRO,11110
2016,CE,INDUSTRIA,MICRO,44310
2016,RN,INDUSTRIA,MICRO,15650
2016,PB,INDUSTRIA,MICRO,15485
2016,PE,INDUSTRIA,MICRO,43057
2016,AL,INDUSTRIA,MICRO,8597
2016,SE,INDUSTRIA,MICRO,9189
2016,BA,INDUSTRIA,MICRO,48606
2016,MG,INDUSTRIA,MICRO,178693
2016,ES,INDUSTRIA,MICRO,34369
2016,RJ,INDUSTRIA,MICRO,78357
2016,SP,INDUSTRIA,MICRO,425137
2016,PR,INDUSTRIA,MICRO,135613
2016,SC,INDUSTRIA,MICRO,144421
2016,RS,INDUSTRIA,MICRO,147703
2016,MS,INDUSTRIA,MICRO,15172
2016,MT,INDUSTRIA,MICRO,27137
2016,GO,INDUSTRIA,MICRO,55092
2016,DF,INDUSTRIA,MICRO,11502
2015,RO,INDUSTRIA,MICRO,11119
2015,AC,INDUSTRIA,MICRO,2688
2015,AM,INDUSTRIA,MICRO,8587
2015,RR,INDUSTRIA,MICRO,1414
2015,PA,INDUSTRIA,MICRO,20217
2015,AP,INDUSTRIA,MICRO,1935
2015,TO,INDUSTRIA,MICRO,6141
2015,MA,INDUSTRIA,MICRO,10575
2015,PI,INDUSTRIA,MICRO,11332
2015,CE,INDUSTRIA,MICRO,47326
2015,RN,INDUSTRIA,MICRO,15564
2015,PB,INDUSTRIA,MICRO,16304
2015,PE,INDUSTRIA,MICRO,45091
2015,AL,INDUSTRIA,MICRO,8219
2015,SE,INDUSTRIA,MICRO,9851
2015,BA,INDUSTRIA,MICRO,50114
2015,MG,INDUSTRIA,MICRO,184340
2015,ES,INDUSTRIA,MICRO,35967
2015,RJ,INDUSTRIA,MICRO,83031
2015,SP,INDUSTRIA,MICRO,439741
2015,PR,INDUSTRIA,MICRO,139256
2015,SC,INDUSTRIA,MICRO,146626
2015,RS,INDUSTRIA,MICRO,153295
2015,MS,INDUSTRIA,MICRO,15769
2015,MT,INDUSTRIA,MICRO,28484
2015,GO,INDUSTRIA,MICRO,57286
2015,DF,INDUSTRIA,MICRO,11742
2014,RO,INDUSTRIA,MICRO,10996
2014,AC,INDUSTRIA,MICRO,2583
2014,AM,INDUSTRIA,MICRO,8753
2014,RR,INDUSTRIA,MICRO,1382
2014,PA,INDUSTRIA,MICRO,20012
2014,AP,INDUSTRIA,MICRO,1808
2014,TO,INDUSTRIA,MICRO,6163
2014,MA,INDUSTRIA,MICRO,10635
2014,PI,INDUSTRIA,MICRO,11444
2014,CE,INDUSTRIA,MICRO,47582
2014,RN,INDUSTRIA,MICRO,15609
2014,PB,INDUSTRIA,MICRO,15984
2014,PE,INDUSTRIA,MICRO,46901
2014,AL,INDUSTRIA,MICRO,8349
2014,SE,INDUSTRIA,MICRO,9633
2014,BA,INDUSTRIA,MICRO,49417
2014,MG,INDUSTRIA,MICRO,188348
