Sigla,Código,Estado,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AC,12,Acre,674487.98416692,491376.419359578,648747.00340954,598244.129629611,588810.602219032,757470.327242041,681922.807737843,1056411.65114147,1091621.58341721,870271.089419841,888919.092406802,880740.123539781,1033871.36025395,856411.501775816,682338.023919323,625765.650266069
AL,27,Alagoas,4119723.17357488,4224685.09388438,4481916.41465461,4489421.54934906,4576436.79654442,5104842.05749602,4927760.35587068,4308792.41631838,4708284.78570417,6010281.7036243,5341849.42758376,4713670.12345429,4385624.66974426,4409744.08217841,3515130.39534864,3683831.14789482
AM,13,Amazonas,14761990.7522066,15839094.3727251,17434576.9910677,17595737.5152764,19981697.3649041,19360782.5703849,18769937.2580956,18054198.440271,21495795.1751209,23153171.5970722,19592774.4995799,20222782.0909534,18283808.6645834,16617109.7344252,16715187.5596698,15932029.9463022
AP,16,Amapá,611843.856582023,644374.663576959,554199.673016028,543350.438693649,530637.383852289,624305.58832673,779285.293505581,541857.642961174,583103.99782633,737744.629180212,1045936.13166144,1232413.07279215,953981.084497367,1136873.15037539,1007329.49096025,945157.1228193
BA,29,Bahia,22508051.9791726,23341294.6925487,26528210.1160114,28788922.8544492,27863970.8204224,28374185.0348382,30071695.8549832,32827594.6999969,36739895.0730671,31973856.5468105,30055663.850974,29015289.5940915,30350637.6982487,32759140.3550142,34325906.6930934,32432703.5762531
CE,23,Ceará,10774651.8713432,10144264.9049627,11526821.6142644,11141282.4048832,11854859.6951777,12052018.6157201,13221436.5079314,14208540.4135121,15177895.7460016,15388280.7557585,15233686.6545345,15392239.122796,15653413.1037789,15375087.7676893,14833948.4399298,13585657.364746
DF,53,Distrito Federal,7769858.71317178,6038624.79374107,7082152.69225548,7773817.00349943,6351392.19920866,6628609.0353727,6662689.30062043,8305282.59434364,9184148.92075235,8656450.16926344,8301033.52963038,7709261.83449426,8370400.82840333,6855852.46405727,6129645.85739481,5168647.57123761
ES,32,Espírito Santo,15509870.4888262,15500106.2575214,17923103.7756028,20318169.1156947,22627303.8441762,23778369.8415968,25887972.0730296,19436757.1172969,26949550.3970935,34311938.327136,35017542.4787289,31448377.7058627,31508920.3130714,21403367.3262817,14331459.9239389,13024498.7591742
GO,52,Goiás,16598442.3787643,16801344.0446,18689254.7408513,18868590.1981945,19853703.295866,22786206.8859517,23446549.0988223,24710793.1794021,26426091.1700284,26143697.4500601,27158039.8273488,27426391.485843,25688475.2982117,25927672.8645134,23594273.8587085,22690724.7169178
MA,21,Maranhão,5190489.06832222,5981413.64919915,5325284.23306845,5260986.86164345,8539252.40338123,6275205.38156809,7089511.84638196,6596116.48149331,6883369.38416601,7666282.27179266,8914056.23872532,9050838.45078521,9062592.30284885,9402036.47009073,8358277.75603822,8247515.53651037
