setor,tipo,uf,ano,emissao_co2
Energia,Emissão,AC,2000,816007.7459955687
Energia,Emissão,AC,2001,893821.3768754217
Energia,Emissão,AC,2002,1072257.1983135487
Energia,Emissão,AC,2003,1064160.0264661931
Energia,Emissão,AC,2004,825977.2019151354
Energia,Emissão,AC,2005,762548.5878399524
Energia,Emissão,AC,2006,646886.028380319
Energia,Emissão,AC,2007,562549.9225952968
Energia,Emissão,AC,2008,574089.474730571
Energia,Emissão,AC,2009,561578.8932284632
Energia,Emissão,AC,2010,669095.1020997431
Energia,Emissão,AC,2011,696772.7055547616
Energia,Emissão,AC,2012,936792.1674274942
Energia,Emissão,AC,2013,724657.043726511
Energia,Emissão,AC,2014,783446.9357818484
Energia,Emissão,AC,2015,742071.9161067026
Energia,Emissão,AC,2016,686083.267588198
Energia,Emissão,AC,2017,657136.3342874937
Energia,Emissão,AC,2018,697751.8741954044
Agropecuária,Emissão,AC,2000,2277725.1138936924
Agropecuária,Emissão,AC,2001,3631115.4406897994
Agropecuária,Emissão,AC,2002,3829349.760869122
Agropecuária,Emissão,AC,2003,3940961.976576499
Agropecuária,Emissão,AC,2004,4270671.157377784
Agropecuária,Emissão,AC,2005,4711030.175418624
Agropecuária,Emissão,AC,2006,5032733.795964502
Agropecuária,Emissão,AC,2007,4629208.857364985
Agropecuária,Emissão,AC,2008,4859837.150894742
Agropecuária,Emissão,AC,2009,5045600.239655719
Agropecuária,Emissão,AC,2010,5200435.161152212
Agropecuária,Emissão,AC,2011,4994819.453738482
Agropecuária,Emissão,AC,2012,5185199.786251859
Agropecuária,Emissão,AC,2013,5304081.322544091
Agropecuária,Emissão,AC,2014,5507291.158478556
Agropecuária,Emissão,AC,2015,5757112.469442275
Agropecuária,Emissão,AC,2016,5920841.390571523
Agropecuária,Emissão,AC,2017,5712447.965351681
Agropecuária,Emissão,AC,2018,6478449.846426412
Processos Industriais,Emissão,AC,2000,0.0
Processos Industriais,Emissão,AC,2001,0.0
Processos Industriais,Emissão,AC,2002,0.0
Processos Industriais,Emissão,AC,2003,0.0
Processos Industriais,Emissão,AC,2004,0.0
Processos Industriais,Emissão,AC,2005,0.0
Processos Industriais,Emissão,AC,2006,0.0
Processos Industriais,Emissão,AC,2007,0.0
Processos Industriais,Emissão,AC,2008,0.0
Processos Industriais,Emissão,AC,2009,0.0
Processos Industriais,Emissão,AC,2010,0.0
Processos Industriais,Emissão,AC,2011,0.0
Processos Industriais,Emissão,AC,2012,0.0
Processos Industriais,Emissão,AC,2013,0.0
Processos Industriais,Emissão,AC,2014,0.0
Processos Industriais,Emissão,AC,2015,0.0
Processos Industriais,Emissão,AC,2016,0.0
Processos Industriais,Emissão,AC,2017,0.0
Processos Industriais,Emissão,AC,2018,0.0
Resíduos ,Emissão,AC,2000,147138.11799999996
Resíduos ,Emissão,AC,2001,159925.79299999995
Resíduos ,Emissão,AC,2002,165744.62000000005
Resíduos ,Emissão,AC,2003,165942.33100000003
Resíduos ,Emissão,AC,2004,169691.21500000008
Resíduos ,Emissão,AC,2005,176275.1439999999
Resíduos ,Emissão,AC,2006,185399.97500000003
Resíduos ,Emissão,AC,2007,209057.20500000007
Resíduos ,Emissão,AC,2008,223474.7049999999
Resíduos ,Emissão,AC,2009,230402.618
Resíduos ,Emissão,AC,2010,241525.0569999999
Resíduos ,Emissão,AC,2011,258607.74199999997
Resíduos ,Emissão,AC,2012,290778.22099999996
Resíduos ,Emissão,AC,2013,312603.08500000014
Resíduos ,Emissão,AC,2014,328518.43600000016
Resíduos ,Emissão,AC,2015,354935.0069999999
Resíduos ,Emissão,AC,2016,369912.9460000001
Resíduos ,Emissão,AC,2017,384798.7389999998
Resíduos ,Emissão,AC,2018,401244.6789999997
Mudança de Uso da Terra e Floresta,Emissão,AC,2000,28975592.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2001,23677992.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2002,46444320.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2003,52071005.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2004,22441738.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2005,29591294.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2006,25594542.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2007,19765953.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2008,18762963.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2009,19620790.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2010,14882659.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2011,14998935.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2012,13775482.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2013,13952416.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2014,19489299.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2015,22379258.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2016,21922394.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2017,25067004.0
Mudança de Uso da Terra e Floresta,Emissão,AC,2018,20517894.0
Energia,Remoção,AC,2000,0.0
Energia,Remoção,AC,2001,0.0
Energia,Remoção,AC,2002,0.0
Energia,Remoção,AC,2003,0.0
Energia,Remoção,AC,2004,0.0
Energia,Remoção,AC,2005,0.0
Energia,Remoção,AC,2006,0.0
Energia,Remoção,AC,2007,0.0
Energia,Remoção,AC,2008,0.0
Energia,Remoção,AC,2009,0.0
Energia,Remoção,AC,2010,0.0
Energia,Remoção,AC,2011,0.0
Energia,Remoção,AC,2012,0.0
Energia,Remoção,AC,2013,0.0
Energia,Remoção,AC,2014,0.0
Energia,Remoção,AC,2015,0.0
Energia,Remoção,AC,2016,0.0
Energia,Remoção,AC,2017,0.0
Energia,Remoção,AC,2018,0.0
Agropecuária,Remoção,AC,2000,0.0
Agropecuária,Remoção,AC,2001,0.0
Agropecuária,Remoção,AC,2002,0.0
Agropecuária,Remoção,AC,2003,0.0
Agropecuária,Remoção,AC,2004,0.0
Agropecuária,Remoção,AC,2005,0.0
Agropecuária,Remoção,AC,2006,0.0
Agropecuária,Remoção,AC,2007,0.0
Agropecuária,Remoção,AC,2008,0.0
Agropecuária,Remoção,AC,2009,0.0
Agropecuária,Remoção,AC,2010,0.0
Agropecuária,Remoção,AC,2011,0.0
Agropecuária,Remoção,AC,2012,0.0
Agropecuária,Remoção,AC,2013,0.0
Agropecuária,Remoção,AC,2014,0.0
Agropecuária,Remoção,AC,2015,0.0
Agropecuária,Remoção,AC,2016,0.0
Agropecuária,Remoção,AC,2017,0.0
Agropecuária,Remoção,AC,2018,0.0
Processos Industriais,Remoção,AC,2000,0.0
Processos Industriais,Remoção,AC,2001,0.0
Processos Industriais,Remoção,AC,2002,0.0
Processos Industriais,Remoção,AC,2003,0.0
Processos Industriais,Remoção,AC,2004,0.0
Processos Industriais,Remoção,AC,2005,0.0
Processos Industriais,Remoção,AC,2006,0.0
Processos Industriais,Remoção,AC,2007,0.0
Processos Industriais,Remoção,AC,2008,0.0
Processos Industriais,Remoção,AC,2009,0.0
Processos Industriais,Remoção,AC,2010,0.0
Processos Industriais,Remoção,AC,2011,0.0
Processos Industriais,Remoção,AC,2012,0.0
Processos Industriais,Remoção,AC,2013,0.0
Processos Industriais,Remoção,AC,2014,0.0
Processos Industriais,Remoção,AC,2015,0.0
Processos Industriais,Remoção,AC,2016,0.0
Processos Industriais,Remoção,AC,2017,0.0
Processos Industriais,Remoção,AC,2018,0.0
Resíduos ,Remoção,AC,2000,0.0
Resíduos ,Remoção,AC,2001,0.0
Resíduos ,Remoção,AC,2002,0.0
Resíduos ,Remoção,AC,2003,0.0
Resíduos ,Remoção,AC,2004,0.0
Resíduos ,Remoção,AC,2005,0.0
Resíduos ,Remoção,AC,2006,0.0
Resíduos ,Remoção,AC,2007,0.0
Resíduos ,Remoção,AC,2008,0.0
Resíduos ,Remoção,AC,2009,0.0
Resíduos ,Remoção,AC,2010,0.0
Resíduos ,Remoção,AC,2011,0.0
Resíduos ,Remoção,AC,2012,0.0
Resíduos ,Remoção,AC,2013,0.0
Resíduos ,Remoção,AC,2014,0.0
Resíduos ,Remoção,AC,2015,0.0
Resíduos ,Remoção,AC,2016,0.0
Resíduos ,Remoção,AC,2017,0.0
Resíduos ,Remoção,AC,2018,0.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2000,-6824883.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2001,-7124617.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2002,-7740340.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2003,-8894432.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2004,-9129781.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2005,-10535370.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2006,-11103346.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2007,-11325331.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2008,-11692711.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2009,-11719669.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2010,-11829878.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2011,-11871472.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2012,-11951860.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2013,-12479855.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2014,-12682408.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2015,-12751904.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2016,-12797636.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2017,-12821186.0
Mudança de Uso da Terra e Floresta,Remoção,AC,2018,-12914015.0
Energia,Emissão,AL,2000,1787213.4523412192
Energia,Emissão,AL,2001,1705068.84847348
Energia,Emissão,AL,2002,1613353.1257489694
Energia,Emissão,AL,2003,1496507.1421625307
Energia,Emissão,AL,2004,1631322.9898777658
Energia,Emissão,AL,2005,1582669.4716812405
Energia,Emissão,AL,2006,1563407.8834901839
Energia,Emissão,AL,2007,2063363.667737641
Energia,Emissão,AL,2008,2073245.3678513025
Energia,Emissão,AL,2009,2146576.7110519456
Energia,Emissão,AL,2010,2208913.3691114397
Energia,Emissão,AL,2011,2418028.558927819
Energia,Emissão,AL,2012,2525272.842413525
Energia,Emissão,AL,2013,2560913.255192362
Energia,Emissão,AL,2014,2678337.7534991307
Energia,Emissão,AL,2015,2627031.1474501695
Energia,Emissão,AL,2016,2781743.159210751
