setor,uf,ano,emissao_co2
INDUSTRIA,AC,2000,0.0
INDUSTRIA,AC,2001,0.0
INDUSTRIA,AC,2002,0.0
INDUSTRIA,AC,2003,0.0
INDUSTRIA,AC,2004,0.0
INDUSTRIA,AC,2005,0.0
INDUSTRIA,AC,2006,0.0
INDUSTRIA,AC,2007,0.0
INDUSTRIA,AC,2008,0.0
INDUSTRIA,AC,2009,0.0
INDUSTRIA,AC,2010,0.0
INDUSTRIA,AC,2011,0.0
INDUSTRIA,AC,2012,0.0
INDUSTRIA,AC,2013,0.0
INDUSTRIA,AC,2014,0.0
INDUSTRIA,AC,2015,0.0
INDUSTRIA,AC,2016,0.0
INDUSTRIA,AC,2017,0.0
INDUSTRIA,AC,2018,0.0
INDUSTRIA,AL,2000,197422.0
INDUSTRIA,AL,2001,176113.2
INDUSTRIA,AL,2002,154426.1
INDUSTRIA,AL,2003,133488.1
INDUSTRIA,AL,2004,138321.9
INDUSTRIA,AL,2005,162007.8
INDUSTRIA,AL,2006,168791.5
INDUSTRIA,AL,2007,196567.2
INDUSTRIA,AL,2008,202030.1
INDUSTRIA,AL,2009,150418.0
INDUSTRIA,AL,2010,242707.0
INDUSTRIA,AL,2011,254230.2
INDUSTRIA,AL,2012,253149.9
INDUSTRIA,AL,2013,294581.9
INDUSTRIA,AL,2014,299536.9
INDUSTRIA,AL,2015,210353.4
INDUSTRIA,AL,2016,135398.9
INDUSTRIA,AL,2017,54005.8
INDUSTRIA,AL,2018,21121.0
INDUSTRIA,AM,2000,250739.3
INDUSTRIA,AM,2001,241367.0
INDUSTRIA,AM,2002,233222.7
INDUSTRIA,AM,2003,224841.6
INDUSTRIA,AM,2004,231643.1
INDUSTRIA,AM,2005,232446.0
INDUSTRIA,AM,2006,233654.6
INDUSTRIA,AM,2007,252359.8
INDUSTRIA,AM,2008,281970.1
INDUSTRIA,AM,2009,240521.7
INDUSTRIA,AM,2010,261072.1
INDUSTRIA,AM,2011,292760.9
INDUSTRIA,AM,2012,282678.1
INDUSTRIA,AM,2013,277978.1
INDUSTRIA,AM,2014,229952.7
INDUSTRIA,AM,2015,240178.4
INDUSTRIA,AM,2016,230825.6
INDUSTRIA,AM,2017,201377.7
INDUSTRIA,AM,2018,123435.4
INDUSTRIA,AP,2000,0.0
INDUSTRIA,AP,2001,0.0
INDUSTRIA,AP,2002,0.0
INDUSTRIA,AP,2003,0.0
INDUSTRIA,AP,2004,0.0
INDUSTRIA,AP,2005,0.0
INDUSTRIA,AP,2006,0.0
INDUSTRIA,AP,2007,0.0
INDUSTRIA,AP,2008,0.0
INDUSTRIA,AP,2009,0.0
INDUSTRIA,AP,2010,0.0
INDUSTRIA,AP,2011,0.0
INDUSTRIA,AP,2012,0.0
INDUSTRIA,AP,2013,0.0
INDUSTRIA,AP,2014,0.0
INDUSTRIA,AP,2015,0.0
INDUSTRIA,AP,2016,0.0
INDUSTRIA,AP,2017,0.0
INDUSTRIA,AP,2018,0.0
INDUSTRIA,BA,2000,1192450.9
INDUSTRIA,BA,2001,1024845.6
INDUSTRIA,BA,2002,1075607.9
INDUSTRIA,BA,2003,1324686.7
INDUSTRIA,BA,2004,1330852.1
INDUSTRIA,BA,2005,1458906.1
INDUSTRIA,BA,2006,1343634.7
INDUSTRIA,BA,2007,1474039.3
INDUSTRIA,BA,2008,1555923.4
INDUSTRIA,BA,2009,1235557.8
INDUSTRIA,BA,2010,1438893.5
INDUSTRIA,BA,2011,1463153.8
INDUSTRIA,BA,2012,1347484.7
INDUSTRIA,BA,2013,1432394.4
INDUSTRIA,BA,2014,1540158.1
INDUSTRIA,BA,2015,1533505.4
INDUSTRIA,BA,2016,1384213.0
INDUSTRIA,BA,2017,1392331.4
INDUSTRIA,BA,2018,1411656.3
INDUSTRIA,CE,2000,590868.3
