COMPANHIA LESTE PAULISTA DE ENERGIA,"395 processos no TJSP, TRT15, TJSPCR, STJ e TRF1, 37 processos no TJSP, TJSPCR e STJ, 30 processos no TJSP, STJ, TJSPCR e TJMG, 28 processos no TJSP e TJSPCR, 20 processos no TJSP, TRT15, STJ e TJSPCR, 17 processos no TJSP e STJ"
EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,"4.582 processos no TJES, TRT17, STJ, TST e TJMG, 198 processos no TJES, TJMG e TJRJ, 13 processos no TJES e TST, 10 processos no TJES e TJRJ, 9 processos no TJES, 7 processos no TJES"
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA,"19.936 processos no TJMS, TRT24, STJ, TJSP e TST, 19 processos no TJMS, TRT24, TJMT, STJ e TJMG, 18 processos no STJ, TJMS e STF, 11 processos no TRT24, 10 processos no TJMS, 4 processos no TJMS"
TRINDADE INDUSTRIA E COMERCIO LTDA,"58 processos no TRT18, TRF1 e TJAL, 37 processos no TJSC, TJSC  , TRF4-SC  , TJRS e TRF1, 34 processos no TJSP, TJGO, TRF1, TJMG e JFRJ, 29 processos no TJSP, 18 processos no TJSP, TRT15 e TJMS, 8 processos no TJPE, TJRN, TJBA e TRF1"
COMPANHIA ENERGETICA DE PERNAMBUCO,"45.267 processos no TJPE, TRT6, TRT06, STJ e TST, 7.048 processos no TJPE, TRT6, TRT06, TST e STJ, 5.896 processos no TJPE, TRT6, TJRN, TRT06 e TJSP, 221 processos no TJPE, STJ e TST, 212 processos no TJPE, TJRJ, TJSP e STJ, 152 processos no TJPE e STJ"
ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A,"105.734 processos no TJSP, TRT2, TRF3, TJSPCR e TRT02, 4.841 processos no TJSP, TJSPCR e STJ, 3.025 processos no TJSP, TJSPCR e STJ, 2.559 processos no TJSP, STJ, TJSPCR e STF, 2.522 processos no TJSP, TJSPCR e STJ, 2.409 processos no TJSP, TJSPCR, TRF3, STJ e TJSC"
COMPANHIA NACIONAL DE ENERGIA ELETRICA,"535 processos no TJSP, TRT15, TRF3, STJ e TRF1, 86 processos no TJSP, STJ e TJSPCR, 71 processos no TJSP, STJ, TJSPCR, TRF3 e TRT15, 45 processos no TJSP e TJSPCR, 6 processos no TRT15 e TJSP, 3 processos no TJSP"
ALUMINIC INDUSTRIAL S/A,"100 processos no TJPE, STJ, TJSP, TRF5 e TRT6, 9 processos no TJSP e TRT6, 1 processo no JFPE, 1 processo no TRT6"
MAROMBI ALIMENTOS LTDA,"83 processos no TRT23, TRF1, TJMT, TJSP e TST"
REXAM BEVERAGE CAN SOUTH AMERICA S/A,"473 processos no TRT6, TRT15, TRT1, TJRJ e TJSP, 67 processos no TRT6, TJSP, TRF1, TRT1 e TRT06, 3 processos no TRT6, 3 processos no TRT10 e TJRJ, 1 processo no TRT1, 1 processo no TJSP"
COMPANHIA TECIDOS SANTANENSE,"612 processos no TRT3, TJSP, TJMG, TRF1 e TJSC, 2 processos no TJMG e TJCE, 1 processo no TJMG, 1 processo no TRF1, 1 processo no TJSP, 1 processo no TJCE"
COMPANHIA ENERGETICA DO CEARA,"5.928 processos no TJCE, TJRJ, TJMS e STJ, 5.868 processos no TJCE, TRT7, STJ, TRF1 e TJRN, 2.121 processos no TJCE, JFCE, STJ, TJRJ e TJSP, 1.675 processos no TJCE, TRT7, STJ, TRF1 e TJSP, 827 processos no TJCE e TJRJ, 248 processos no TJCE"
VICUNHA SIDERURGIA S/A.,"11 processos no STJ, TJRJ, TRF3, TRF2 e JFRJ"
BIOENERGIA COGERADORA S/A,"9 processos no TJSP, JFSP e STF, 4 processos no TJSP e STF, 1 processo no TJSP"
