ano,igpm
1994-08-01,"100,000"
1994-09-01,"101,751"
1994-10-01,"103,602"
1994-11-01,"106,553"
1994-12-01,"107,450"
1995-01-01,"108,442"
1995-02-01,"109,945"
1995-03-01,"111,178"
1995-04-01,"113,518"
1995-05-01,"114,171"
1995-06-01,"116,984"
1995-07-01,"119,114"
1995-08-01,"121,729"
1995-09-01,"120,869"
1995-10-01,"121,503"
1995-11-01,"122,955"
1995-12-01,"123,833"
1996-01-01,"125,977"
1996-02-01,"127,202"
1996-03-01,"127,715"
1996-04-01,"128,130"
1996-05-01,"130,121"
1996-06-01,"131,445"
1996-07-01,"133,213"
1996-08-01,"133,587"
1996-09-01,"133,722"
1996-10-01,"133,978"
1996-11-01,"134,242"
1996-12-01,"135,225"
1997-01-01,"137,613"
1997-02-01,"138,204"
1997-03-01,"139,795"
1997-04-01,"140,742"
1997-05-01,"141,040"
1997-06-01,"142,090"
1997-07-01,"142,221"
1997-08-01,"142,353"
1997-09-01,"143,042"
1997-10-01,"143,567"
1997-11-01,"144,481"
1997-12-01,"145,695"
1998-01-01,"147,091"
1998-02-01,"147,356"
1998-03-01,"147,635"
1998-04-01,"147,821"
1998-05-01,"148,021"
1998-06-01,"148,588"
1998-07-01,"148,339"
1998-08-01,"148,109"
1998-09-01,"147,984"
1998-10-01,"148,100"
1998-11-01,"147,628"
1998-12-01,"148,291"
1999-01-01,"149,533"
1999-02-01,"154,933"
1999-03-01,"159,325"
1999-04-01,"160,459"
1999-05-01,"159,996"
1999-06-01,"160,573"
1999-07-01,"163,060"
1999-08-01,"165,603"
1999-09-01,"167,997"
1999-10-01,"170,861"
1999-11-01,"174,939"
1999-12-01,"178,099"
2000-01-01,"180,301"
2000-02-01,"180,935"
2000-03-01,"181,214"
2000-04-01,"181,635"
2000-05-01,"182,189"
2000-06-01,"183,745"
2000-07-01,"186,634"
2000-08-01,"191,087"
2000-09-01,"193,297"
2000-10-01,"194,040"
2000-11-01,"194,599"
2000-12-01,"195,827"
2001-01-01,"197,045"
2001-02-01,"197,491"
2001-03-01,"198,606"
2001-04-01,"200,591"
2001-05-01,"202,324"
2001-06-01,"204,310"
2001-07-01,"207,341"
2001-08-01,"210,211"
2001-09-01,"210,853"
2001-10-01,"213,339"
2001-11-01,"215,685"
2001-12-01,"216,163"
2002-01-01,"216,944"
2002-02-01,"217,074"
2002-03-01,"217,276"
2002-04-01,"218,486"
2002-05-01,"220,292"
2002-06-01,"223,688"
2002-07-01,"228,057"
2002-08-01,"233,348"
2002-09-01,"238,943"
2002-10-01,"248,199"
2002-11-01,"261,080"
2002-12-01,"270,867"
2003-01-01,"277,173"
2003-02-01,"283,506"
2003-03-01,"287,855"
2003-04-01,"290,512"
2003-05-01,"289,747"
2003-06-01,"286,843"
2003-07-01,"285,649"
2003-08-01,"286,735"
2003-09-01,"290,127"
2003-10-01,"291,229"
2003-11-01,"292,657"
2003-12-01,"294,455"
2004-01-01,"297,039"
2004-02-01,"299,097"
2004-03-01,"302,484"
2004-04-01,"306,151"
2004-05-01,"310,152"
2004-06-01,"314,419"
2004-07-01,"318,532"
2004-08-01,"322,412"
2004-09-01,"324,651"
2004-10-01,"325,925"
2004-11-01,"328,588"
2004-12-01,"331,005"
2005-01-01,"332,298"
2005-02-01,"333,288"
2005-03-01,"336,123"
2005-04-01,"339,030"
2005-05-01,"338,299"
2005-06-01,"336,801"
2005-07-01,"335,663"
2005-08-01,"333,474"
2005-09-01,"331,690"
2005-10-01,"333,694"
2005-11-01,"335,033"
2005-12-01,"335,006"
2006-01-01,"338,083"
2006-02-01,"338,128"
2006-03-01,"337,339"
2006-04-01,"335,921"
2006-05-01,"337,185"
2006-06-01,"339,712"
2006-07-01,"340,312"
2006-08-01,"341,574"
2006-09-01,"342,561"
2006-10-01,"344,155"
2006-11-01,"346,746"
2006-12-01,"347,842"
2007-01-01,"349,593"
2007-02-01,"350,524"
2007-03-01,"351,717"
2007-04-01,"351,869"
2007-05-01,"352,020"
2007-06-01,"352,936"
2007-07-01,"353,920"
2007-08-01,"357,404"
2007-09-01,"361,997"
2007-10-01,"365,794"
2007-11-01,"368,334"
2007-12-01,"374,815"
2008-01-01,"378,900"
2008-02-01,"380,906"
2008-03-01,"383,731"
2008-04-01,"386,380"
2008-05-01,"392,592"
2008-06-01,"400,382"
2008-07-01,"407,446"
2008-08-01,"406,127"
2008-09-01,"406,557"
2008-10-01,"410,524"
2008-11-01,"412,104"
2008-12-01,"411,575"
2009-01-01,"409,782"
2009-02-01,"410,849"
2009-03-01,"407,808"
2009-04-01,"407,181"
2009-05-01,"406,885"
2009-06-01,"406,486"
2009-07-01,"404,718"
2009-08-01,"403,253"
2009-09-01,"404,945"
2009-10-01,"405,129"
2009-11-01,"405,548"
2009-12-01,"404,499"
2010-01-01,"407,049"
2010-02-01,"411,843"
2010-03-01,"415,734"
2010-04-01,"418,917"
2010-05-01,"423,885"
2010-06-01,"427,489"
2010-07-01,"428,150"
2010-08-01,"431,445"
2010-09-01,"436,423"
2010-10-01,"440,829"
2010-11-01,"447,206"
2010-12-01,"450,301"
2011-01-01,"453,875"
2011-02-01,"458,397"
2011-03-01,"461,249"
2011-04-01,"463,311"
2011-05-01,"465,311"
2011-06-01,"464,463"
2011-07-01,"463,927"
2011-08-01,"465,968"
2011-09-01,"468,975"
2011-10-01,"471,466"
2011-11-01,"473,808"
2011-12-01,"473,252"
2012-01-01,"474,429"
2012-02-01,"474,138"
2012-03-01,"476,166"
2012-04-01,"480,229"
2012-05-01,"485,140"
2012-06-01,"488,342"
2012-07-01,"494,891"
2012-08-01,"501,957"
2012-09-01,"506,804"
2012-10-01,"506,926"
2012-11-01,"506,795"
2012-12-01,"510,252"
2013-01-01,"511,977"
2013-02-01,"513,467"
2013-03-01,"514,526"
2013-04-01,"515,276"
2013-05-01,"515,299"
2013-06-01,"519,153"
2013-07-01,"520,508"
2013-08-01,"521,270"
2013-09-01,"529,085"
2013-10-01,"533,621"
2013-11-01,"535,168"
2013-12-01,"538,370"
2014-01-01,"540,959"
2014-02-01,"543,038"
2014-03-01,"552,087"
2014-04-01,"556,420"
2014-05-01,"555,679"
2014-06-01,"551,554"
2014-07-01,"548,202"
2014-08-01,"546,745"
2014-09-01,"547,839"
2014-10-01,"549,396"
2014-11-01,"554,769"
2014-12-01,"558,213"
2015-01-01,"562,482"
2015-02-01,"564,004"
2015-03-01,"569,536"
2015-04-01,"576,175"
2015-05-01,"578,516"
2015-06-01,"582,401"
2015-07-01,"586,426"
2015-08-01,"588,042"
2015-09-01,"593,606"
2015-10-01,"604,832"
2015-11-01,"614,051"
2015-12-01,"617,044"
2016-01-01,"624,060"
2016-02-01,"632,114"
2016-03-01,"635,349"
2016-04-01,"637,434"
2016-05-01,"642,651"
2016-06-01,"653,496"
2016-07-01,"654,641"
2016-08-01,"655,602"
2016-09-01,"656,894"
2016-10-01,"657,927"
2016-11-01,"657,752"
2016-12-01,"661,304"
2017-01-01,"665,542"
2017-02-01,"666,099"
2017-03-01,"666,197"
2017-04-01,"658,898"
2017-05-01,"652,758"
2017-06-01,"648,409"
2017-07-01,"643,766"
2017-08-01,"644,383"
2017-09-01,"647,400"
2017-10-01,"648,672"
2017-11-01,"652,073"
2017-12-01,"657,859"
2018-01-01,"662,826"
2018-02-01,"663,311"
2018-03-01,"667,524"
2018-04-01,"671,327"
2018-05-01,"680,579"
2018-06-01,"693,287"
2018-07-01,"696,800"
2018-08-01,"701,677"
2018-09-01,"712,373"
2018-10-01,"718,684"
2018-11-01,"715,166"
2018-12-01,"707,441"
2019-01-01,"707,488"
2019-02-01,"713,747"
2019-03-01,"722,707"
2019-04-01,"729,346"
2019-05-01,"732,595"
2019-06-01,"738,421"
2019-07-01,"741,346"
2019-08-01,"736,402"
2019-09-01,"736,362"
2019-10-01,"741,333"
2019-11-01,"743,558"
2019-12-01,"759,112"
2020-01-01,"762,733"
2020-02-01,"762,423"
2020-03-01,"771,908"
2020-04-01,"778,101"
2020-05-01,"780,280"
2020-06-01,"792,429"
2020-07-01,"810,083"
2020-08-01,"832,313"
2020-09-01,"868,442"
2020-10-01,"896,505"
2020-11-01,"925,887"
2020-12-01,"934,758"
2021-01-01,"958,844"
2021-02-01,"983,063"
2021-03-01,"1.011,948"
2021-04-01,"1.027,211"
2021-05-01,"1.069,289"
2021-06-01,"1.075,733"
2021-07-01,"1.084,095"
