uf,setor_bndes,porte_do_cliente,ano,mean_valor_contratado_reais,mean_valor_desembolsado_reais,mean_juros,mean_prazo_carencia_meses,mean_prazo_amortizacao_meses,mean_num_empregados,mean_emissao_co2,mean_pib
AC,AGROPECUARIA,GRANDE,2007,1360242.2,194065.0,0.0,0.0,0.0,520.0,4629208.9,481469.9
AC,AGROPECUARIA,MICRO,2008,248000.0,248352.0,0.0,0.0,0.0,1620.0,4859837.2,582510.3
AC,INDUSTRIA,GRANDE,2002,302757.6,306000.0,4.0,18.0,66.0,0.0,0.0,674488.0
AC,INDUSTRIA,GRANDE,2005,12529726.0,12856405.1,3.5,18.0,102.0,0.0,0.0,598244.1
AC,INDUSTRIA,GRANDE,2008,18357844.0,17269113.2,2.0,30.0,90.0,0.0,0.0,681922.8
AC,INDUSTRIA,MICRO,2009,884037.0,870081.0,0.0,0.0,0.0,1956.0,0.0,1056411.7
AC,INDUSTRIA,MICRO,2010,1252000.0,1252000.0,0.0,0.0,0.0,2200.0,0.0,1091621.6
AC,INDUSTRIA,MICRO,2012,855000.0,854901.2,0.0,0.0,0.0,2371.0,0.0,888919.1
AC,INFRAESTRUTURA,GRANDE,2007,32048964.0,32110602.6,2.0,24.0,96.0,,,
AC,INFRAESTRUTURA,GRANDE,2008,60759000.0,60936725.7,2.0,30.0,162.0,,,
AC,INFRAESTRUTURA,GRANDE,2020,99146000.0,0.0,3.2,12.0,153.0,,,
AC,INFRAESTRUTURA,MÉDIA,2004,11000000.0,0.0,4.0,18.0,96.0,,,
AL,AGROPECUARIA,GRANDE,2014,6175000.0,6175000.0,2.0,36.0,84.0,0.0,3392086.3,3044846.2
AL,INDUSTRIA,GRANDE,2010,65901375.0,64714513.2,2.0,24.8,66.8,88698.0,242707.0,4708284.8
AL,INDUSTRIA,GRANDE,2011,14212141.2,14268284.1,2.4,21.0,78.0,89384.0,254230.2,6010281.7
AL,INDUSTRIA,GRANDE,2013,38818000.0,38812875.0,2.6,16.5,78.5,75011.0,294581.9,4713670.1
AL,INDUSTRIA,GRANDE,2014,5241333.3,4594834.9,3.8,16.0,90.0,64447.0,299536.9,4385624.7
AL,INDUSTRIA,GRANDE,2015,5135600.0,4888848.5,4.4,12.0,72.0,59575.0,210353.4,4409744.1
AL,INDUSTRIA,MÉDIA,2014,1784000.0,435087.4,4.5,18.0,102.0,,299536.9,4385624.7
AL,INFRAESTRUTURA,GRANDE,2002,10295000.0,10548990.9,2.9,30.0,120.0,,,
AL,INFRAESTRUTURA,GRANDE,2003,91383653.3,98025890.9,1.0,10.0,24.0,,,
AL,INFRAESTRUTURA,GRANDE,2005,6108000.0,5961022.6,2.8,9.0,72.0,,,
AL,INFRAESTRUTURA,GRANDE,2010,787918.5,759151.5,3.2,3.0,60.0,,,
AL,INFRAESTRUTURA,GRANDE,2019,284845600.0,200000000.0,2.2,18.0,220.0,,,
AL,INFRAESTRUTURA,GRANDE,2020,491429000.0,0.0,2.3,42.0,197.0,,,
AM,AGROPECUARIA,MICRO,2009,579000.0,558304.3,0.0,0.0,0.0,1124.0,2961876.4,1575238.2
AM,AGROPECUARIA,MÉDIA,2016,31518490.0,31518490.0,0.0,0.0,0.0,,2875114.6,3730173.8
AM,AGROPECUARIA,MÉDIA,2018,12092485.0,10744822.4,0.0,0.0,0.0,,3020468.2,
AM,INDUSTRIA,GRANDE,2002,11964666.9,11956306.1,3.3,16.0,56.0,25232.0,233222.7,14761990.8
AM,INDUSTRIA,GRANDE,2005,28348299.7,28449844.8,5.3,12.0,12.0,53191.0,232446.0,17595737.5
AM,INDUSTRIA,GRANDE,2006,63000000.0,63087644.8,4.0,12.0,24.0,53124.0,233654.6,19981697.4
AM,INDUSTRIA,GRANDE,2008,18368000.0,18376613.3,3.8,18.0,18.0,57393.0,281970.1,18769937.3
AM,INDUSTRIA,GRANDE,2010,21025000.0,21025000.0,2.2,24.0,66.0,61226.0,261072.1,21495795.2
AM,INDUSTRIA,GRANDE,2012,10104333.3,9733333.3,2.4,16.0,64.0,72513.0,282678.1,19592774.5
AM,INDUSTRIA,GRANDE,2013,32609544.3,32059816.2,2.1,15.4,54.9,80833.0,277978.1,20222782.1
AM,INDUSTRIA,GRANDE,2014,23533333.3,23533462.8,1.1,24.0,60.0,70881.0,229952.7,18283808.7
AM,INFRAESTRUTURA,GRANDE,2002,4850975.2,4967538.5,4.7,21.0,138.0,,,
AM,INFRAESTRUTURA,GRANDE,2004,2338408.2,1682947.1,5.1,23.8,180.0,,,
AM,INFRAESTRUTURA,GRANDE,2005,800000000.0,800000000.0,4.5,12.0,1.0,,,
AM,INFRAESTRUTURA,GRANDE,2006,2518947.5,2511988.4,3.7,12.0,180.0,,,
AM,INFRAESTRUTURA,GRANDE,2007,2489500000.0,2491252385.3,2.0,38.0,46.0,,,
AM,INFRAESTRUTURA,GRANDE,2008,400000000.0,400912120.3,3.0,36.0,84.0,,,
AM,INFRAESTRUTURA,GRANDE,2009,15000000.0,15012609.2,3.7,18.0,126.0,,,
AM,INFRAESTRUTURA,GRANDE,2010,439714000.0,439714000.0,2.4,11.0,65.0,,,
AM,INFRAESTRUTURA,GRANDE,2012,47475758.8,42995847.0,2.5,30.0,92.8,,,
AM,INFRAESTRUTURA,GRANDE,2013,17505500.0,14563082.2,3.3,6.0,136.0,,,
AM,INFRAESTRUTURA,GRANDE,2014,35772820.0,35987831.5,2.8,24.0,124.8,,,
AM,INFRAESTRUTURA,GRANDE,2018,30000000.0,30000000.0,2.2,24.0,36.0,,,
AM,INFRAESTRUTURA,GRANDE,2019,17112538.6,7081115.8,3.4,36.0,180.0,,,
AM,INFRAESTRUTURA,GRANDE,2020,77059656.9,0.0,3.0,24.0,216.0,,,
AM,INFRAESTRUTURA,MÉDIA,2002,1537255.3,1873158.4,6.0,15.0,240.0,,,
AM,INFRAESTRUTURA,MÉDIA,2005,782340.0,658827.5,4.1,18.0,180.0,,,
AM,INFRAESTRUTURA,PEQUENA,2005,1566543.7,1529352.2,4.1,18.0,180.0,,,
AP,INDUSTRIA,GRANDE,2007,143845019.2,141756679.6,4.2,30.0,66.0,643.0,0.0,624305.6
AP,INFRAESTRUTURA,GRANDE,2007,90372825.6,73601006.5,3.9,30.0,66.0,,,
AP,INFRAESTRUTURA,GRANDE,2012,30373818.2,29259943.2,3.0,11.0,191.9,,,
AP,INFRAESTRUTURA,GRANDE,2014,168033333.3,163849196.6,1.4,34.0,184.0,,,
AP,INFRAESTRUTURA,GRANDE,2015,160251164.3,0.0,7.3,36.0,186.0,,,
AP,INFRAESTRUTURA,GRANDE,2018,242185.4,0.0,8.5,3.0,54.0,,,
BA,AGROPECUARIA,GRANDE,2002,4940500.0,3559427.9,4.5,30.0,66.0,9324.0,23707219.5,12561355.7
BA,AGROPECUARIA,GRANDE,2003,2380024.0,2418273.4,4.0,36.0,72.0,10320.0,24458245.1,12674225.7
BA,AGROPECUARIA,GRANDE,2005,6187444.3,6200000.0,3.5,24.0,60.0,11825.0,25388463.5,11122590.3
BA,AGROPECUARIA,GRANDE,2012,33390333.3,25124985.2,2.3,84.0,24.0,8316.0,23992509.1,10929642.7
BA,AGROPECUARIA,MICRO,2002,6896550.3,6896550.3,9.8,41.0,84.0,32010.0,23707219.5,12561355.7
BA,AGROPECUARIA,MICRO,2011,1925500.0,1925500.4,0.0,0.0,0.0,41378.0,25379330.5,10973481.9
BA,AGROPECUARIA,PEQUENA,2018,3662521.5,3167255.7,0.0,12.0,60.0,20882.0,23596024.5,
BA,INDUSTRIA,GRANDE,2002,12038308.8,13002495.4,2.6,19.7,63.7,35757.0,1075607.9,22508052.0
BA,INDUSTRIA,GRANDE,2003,3907730.1,3923505.4,5.2,14.0,62.0,37602.0,1324686.7,23341294.7
BA,INDUSTRIA,GRANDE,2004,160787287.6,158389260.5,2.7,38.4,60.6,45189.0,1330852.1,26528210.1
