uf,ano,setor,pib
AC,2002,AGROPECUARIA,540168374.0
AL,2002,AGROPECUARIA,4700566420.0
AM,2002,AGROPECUARIA,2354164958.0
AP,2002,AGROPECUARIA,78250185.0
BA,2002,AGROPECUARIA,12561355724.0
CE,2002,AGROPECUARIA,3581175244.0
DF,2002,AGROPECUARIA,314249646.0
ES,2002,AGROPECUARIA,1490187053.0
GO,2002,AGROPECUARIA,9596387350.0
MA,2002,AGROPECUARIA,3547216586.0
MG,2002,AGROPECUARIA,12744842456.0
MS,2002,AGROPECUARIA,7037215986.0
MT,2002,AGROPECUARIA,7701391632.0
PA,2002,AGROPECUARIA,6584101601.0
PB,2002,AGROPECUARIA,1436182336.0
PE,2002,AGROPECUARIA,3550001780.0
PI,2002,AGROPECUARIA,808828688.0
PR,2002,AGROPECUARIA,16077386975.0
RJ,2002,AGROPECUARIA,1831992199.0
RN,2002,AGROPECUARIA,1050486875.0
RO,2002,AGROPECUARIA,1359319160.0
RR,2002,AGROPECUARIA,134850179.0
RS,2002,AGROPECUARIA,17497507906.0
SC,2002,AGROPECUARIA,9222807698.0
SE,2002,AGROPECUARIA,1142113392.0
SP,2002,AGROPECUARIA,26809477375.0
TO,2002,AGROPECUARIA,1105928096.0
AC,2003,AGROPECUARIA,634908159.0
AL,2003,AGROPECUARIA,3638392411.0
AM,2003,AGROPECUARIA,2069586205.0
AP,2003,AGROPECUARIA,65943267.0
BA,2003,AGROPECUARIA,12674225723.0
CE,2003,AGROPECUARIA,4241630895.0
DF,2003,AGROPECUARIA,337587069.0
ES,2003,AGROPECUARIA,1564672558.0
GO,2003,AGROPECUARIA,9954631966.0
MA,2003,AGROPECUARIA,4675372746.0
MG,2003,AGROPECUARIA,13637787730.0
MS,2003,AGROPECUARIA,9330978587.0
MT,2003,AGROPECUARIA,11508942774.0
PA,2003,AGROPECUARIA,6713778454.0
PB,2003,AGROPECUARIA,1719004448.0
PE,2003,AGROPECUARIA,3675214043.0
PI,2003,AGROPECUARIA,1449588700.0
PR,2003,AGROPECUARIA,20735367824.0
RJ,2003,AGROPECUARIA,1491697545.0
RN,2003,AGROPECUARIA,1422787240.0
RO,2003,AGROPECUARIA,2129112957.0
RR,2003,AGROPECUARIA,158411951.0
RS,2003,AGROPECUARIA,23447682572.0
SC,2003,AGROPECUARIA,9805853113.0
SE,2003,AGROPECUARIA,1442264592.0
SP,2003,AGROPECUARIA,26114816881.0
TO,2003,AGROPECUARIA,1777217466.0
AC,2004,AGROPECUARIA,532594202.0
AL,2004,AGROPECUARIA,3344144703.0
AM,2004,AGROPECUARIA,1798062121.0
AP,2004,AGROPECUARIA,82853942.0
BA,2004,AGROPECUARIA,13437888726.0
CE,2004,AGROPECUARIA,3834632548.0
DF,2004,AGROPECUARIA,321314128.0
ES,2004,AGROPECUARIA,1921741989.0
GO,2004,AGROPECUARIA,10194613903.0
MA,2004,AGROPECUARIA,4706860041.0
MG,2004,AGROPECUARIA,16952756442.0
MS,2004,AGROPECUARIA,7616174098.0
MT,2004,AGROPECUARIA,14283742840.0
PA,2004,AGROPECUARIA,6538843563.0
PB,2004,AGROPECUARIA,1530392863.0
PE,2004,AGROPECUARIA,3696419316.0
PI,2004,AGROPECUARIA,1486200298.0
PR,2004,AGROPECUARIA,18902291553.0
RJ,2004,AGROPECUARIA,1946328798.0
RN,2004,AGROPECUARIA,1389616839.0
RO,2004,AGROPECUARIA,1991168585.0
RR,2004,AGROPECUARIA,170514690.0
RS,2004,AGROPECUARIA,19716790488.0
SC,2004,AGROPECUARIA,9358610958.0
SE,2004,AGROPECUARIA,1245580200.0
SP,2004,AGROPECUARIA,22865495615.0
TO,2004,AGROPECUARIA,1529989171.0
AC,2005,AGROPECUARIA,591702329.0
AL,2005,AGROPECUARIA,3279268606.0
AM,2005,AGROPECUARIA,1528901944.0
AP,2005,AGROPECUARIA,180575398.0
BA,2005,AGROPECUARIA,11122590340.0
CE,2005,AGROPECUARIA,3567999994.0
DF,2005,AGROPECUARIA,335250480.0
ES,2005,AGROPECUARIA,2186872421.0
GO,2005,AGROPECUARIA,7119126151.0
MA,2005,AGROPECUARIA,4311470685.0
MG,2005,AGROPECUARIA,15331002093.0
MS,2005,AGROPECUARIA,5024255499.0
MT,2005,AGROPECUARIA,12031665429.0
PA,2005,AGROPECUARIA,6647976647.0
PB,2005,AGROPECUARIA,1550704862.0
PE,2005,AGROPECUARIA,4065722246.0
PI,2005,AGROPECUARIA,1313772662.0
PR,2005,AGROPECUARIA,14885605296.0
RJ,2005,AGROPECUARIA,1762369079.0
RN,2005,AGROPECUARIA,1251757543.0
RO,2005,AGROPECUARIA,1930688905.0
RR,2005,AGROPECUARIA,142314726.0
RS,2005,AGROPECUARIA,11713891545.0
SC,2005,AGROPECUARIA,8456199057.0
SE,2005,AGROPECUARIA,1225503651.0
SP,2005,AGROPECUARIA,22420557820.0
TO,2005,AGROPECUARIA,1242343916.0
AC,2006,AGROPECUARIA,484086148.0
AL,2006,AGROPECUARIA,3174656989.0
AM,2006,AGROPECUARIA,1695792394.0
AP,2006,AGROPECUARIA,196476283.0
BA,2006,AGROPECUARIA,10721196039.0
CE,2006,AGROPECUARIA,4316726868.0
DF,2006,AGROPECUARIA,255435012.0
ES,2006,AGROPECUARIA,2386894850.0
GO,2006,AGROPECUARIA,5694811322.0
MA,2006,AGROPECUARIA,3646727407.0
MG,2006,AGROPECUARIA,15974577105.0
MS,2006,AGROPECUARIA,4869442240.0
MT,2006,AGROPECUARIA,5544470777.0
PA,2006,AGROPECUARIA,6862771353.0
PB,2006,AGROPECUARIA,1619500150.0
PE,2006,AGROPECUARIA,4164232780.0
PI,2006,AGROPECUARIA,1148972118.0
PR,2006,AGROPECUARIA,13528018422.0
RJ,2006,AGROPECUARIA,1684862452.0
RN,2006,AGROPECUARIA,1348449658.0
RO,2006,AGROPECUARIA,1667800497.0
RR,2006,AGROPECUARIA,124318442.0
RS,2006,AGROPECUARIA,14199689590.0
SC,2006,AGROPECUARIA,7802903087.0
SE,2006,AGROPECUARIA,1407085346.0
SP,2006,AGROPECUARIA,26354041926.0
TO,2006,AGROPECUARIA,974627428.0
AC,2007,AGROPECUARIA,481469858.0
AL,2007,AGROPECUARIA,2921239557.0
AM,2007,AGROPECUARIA,1530955927.0
AP,2007,AGROPECUARIA,202269970.0
BA,2007,AGROPECUARIA,12450216528.0
CE,2007,AGROPECUARIA,3708203660.0
DF,2007,AGROPECUARIA,331636936.0
ES,2007,AGROPECUARIA,2258116620.0
GO,2007,AGROPECUARIA,7301351412.0
MA,2007,AGROPECUARIA,3852661742.0
MG,2007,AGROPECUARIA,15730531720.0
MS,2007,AGROPECUARIA,5427464100.0
MT,2007,AGROPECUARIA,8225151766.0
PA,2007,AGROPECUARIA,6629751546.0
PB,2007,AGROPECUARIA,1374870327.0
PE,2007,AGROPECUARIA,3958450225.0
PI,2007,AGROPECUARIA,1003862833.0
PR,2007,AGROPECUARIA,16211118696.0
RJ,2007,AGROPECUARIA,1445514537.0
RN,2007,AGROPECUARIA,1125628443.0
RO,2007,AGROPECUARIA,1812175686.0
RR,2007,AGROPECUARIA,157212703.0
RS,2007,AGROPECUARIA,16498368251.0
SC,2007,AGROPECUARIA,8295826896.0
SE,2007,AGROPECUARIA,1306132555.0
SP,2007,AGROPECUARIA,26834551905.0
TO,2007,AGROPECUARIA,997635873.0
